Date,DownstateNY_Bench,NorthNJ_Bench,UpstateNY_Bench,NY_Bench,NJ_Bench,PR_Bench,VI_Bench,NYC_Bench,LongIsland_Bench,PtnmRcklndWstchtr_Bench,Poughkeepsie_Bench,Kingston_Bench,BrgnHdsnPassc_Bench,NewBrunswick_Bench,Newark_Bench,Albany_Bench,Binghamton_Bench,Buffalo_Bench,Elmira_Bench,GlensFalls_Bench,Ithaca_Bench,Rochester_Bench,Syracuse_Bench,Utica_Bench,Watertown_Bench
05/31/2009,5829916.986,2847493.8794,2213538.4472,8535913.9005,3906429.0518,976919.06169,43733.327542,3725104.2927,1235066.624,558370.99651,251012.21653,60362.8563,871690.58398,999355.6622,976447.63324,438733.50124,111136.5995,534446.89533,38744.947317,55593.229984,54053.375627,498004.65959,310518.82217,129696.35591,42610.060484
06/30/2009,5813409.0187,2834926.2959,2205524.3313,8513476.5911,3890243.1131,982340.54279,43363.417696,3716886.5712,1230218.2174,556631.60297,249935.65335,59736.973716,868723.59625,994735.73027,971466.9694,437558.12344,110549.75711,533286.57195,38503.381648,54916.731861,54158.714721,495777.93079,309475.52298,128896.05022,42401.546586
07/31/2009,5840099.8644,2822570.4836,2212208.4657,8545641.0795,3880156.8196,961160.18953,43562.040782,3743216.9068,1230160.7038,556840.34186,249611.45015,60270.461836,865830.01247,992095.08968,964645.38146,436719.08449,110647.15839,537121.91314,38742.367148,54797.49974,53888.242302,500186.73028,308922.52171,128722.5934,42460.355092
08/31/2009,5831250.2865,2819281.1571,2207471.6742,8533420.3546,3877151.4036,950616.46646,43610.990354,3734910.666,1229912.9217,556126.09932,249572.04105,60728.558408,862662.21128,991913.59065,964705.35518,436126.19579,110580.77404,535122.5684,38530.973423,54849.119956,53954.603706,498457.24324,308677.43909,128848.33703,42324.419497
09/30/2009,5797130.0853,2817850.1391,2203509.8476,8498534.7107,3871759.7704,946254.85727,43188.195127,3706567.7571,1227912.533,554239.02069,248415.88567,59994.888786,862681.24339,990906.60245,964262.29326,435535.65851,110309.93148,533836.78052,38963.064368,55073.020056,54150.795087,495945.2339,308166.96313,128866.65461,42661.745936
10/31/2009,5797250.8899,2821550.2134,2201617.9941,8487499.7885,3865803.9762,947038.55005,43410.999578,3709224.3557,1226328.6906,552736.04005,249131.40323,59830.400313,863767.53919,989819.84746,967962.82676,435209.16038,109888.53566,533391.33143,38630.206592,54879.862742,54125.540686,496164.84944,308006.2591,128726.55788,42595.690183
11/30/2009,5796688.6492,2822531.4599,2201235.7793,8485520.2694,3864990.1907,941960.79086,43238.694434,3709228.7907,1224804.5732,553076.16226,249605.80181,59973.321299,864337.94886,989275.28432,968918.22673,434921.20179,109406.01842,533350.39803,38752.682382,54718.353325,54244.964995,495974.7926,308423.21312,128753.82599,42690.328611
12/31/2009,5802272.1437,2822167.1118,2198235.3657,8482790.9949,3866239.6868,942957.308,43377.202275,3716280.4514,1224997.8214,551950.46296,249275.22647,59768.181423,864676.6002,989138.59435,968351.91721,434238.53433,109311.50662,532365.64167,38575.478941,54380.111293,54167.578699,495901.11345,308160.7338,128476.52129,42658.145657
01/31/2010,5810684.7446,2809679.8405,2201060.3323,8489078.4629,3854778.4111,942410.94412,43794.790594,3719818.9861,1227778.7824,554065.16525,249355.96861,59665.842223,867860.03392,985776.54546,956043.26114,434085.86133,109405.68816,533604.40526,38789.059032,54535.825759,54267.053126,497375.04847,307597.29896,128764.2203,42635.871893
02/28/2010,5812902.3175,2802272.521,2199746.9785,8490164.6587,3838444.3535,941148.99054,44308.491049,3723440.7132,1226897.8941,553688.60764,249336.05135,59539.051148,864322.63601,983825.64347,954124.24156,433372.59531,109171.70837,533652.11493,38706.020857,54244.670467,54339.094864,497054.59064,307674.30375,128786.19582,42745.683455
